au_authid,au_name,bo_bookid,bo_title,bo_publisher,bo_year,bo_month,bo_pages,bo_vol,bo_num,bo_loc,bo_class,bo_note,bo_annote,ic_collid,ic_title,ic_bktitle,ic_year,ic_month,ic_pages,ic_vol,ic_num,ic_loc,ic_class,ic_note,ic_annote,mi_miscid,mi_title,mi_howpub,mi_confloc,mi_year,mi_month,mi_pages,mi_vol,mi_num,mi_loc,mi_class,mi_note,mi_annote,ma_manid,ma_title,ma_org,ma_year,ma_month,ma_pages,ma_vol,ma_num,ma_loc,ma_class,ma_note,ma_annote,ip_inprocid,ip_title,ip_bktitle,ip_year,ip_month,ip_pages,ip_vol,ip_num,ip_loc,ip_class,ip_note,ip_annote,ar_articleid,ar_title,ar_journal,ar_year,ar_month,ar_pages,ar_vol,ar_num,ar_loc,ar_class,ar_note,ar_annote,tr_techid,tr_title,tr_inst,tr_year,tr_month,tr_pages,tr_vol,tr_num,tr_loc,tr_class,tr_note,tr_annote
"29","MOORE,Maximus","book29","OpenGL programming guide : the official guide to learning OpenGL, version 1.2. ","Greenwood Publishing Group","1989","Aug","582-601","29","27"," Kabul","Theory of Computation","sgqbcmnktmbnnlmppuinmoaxlu","oexiruhlmorynpl","inc29","Learning nonparametric kernel matrices from pairwise constraints.        ","OpenGL programming guide : the official guide to learning OpenGL, version 1.2. ","1997","Feb","210-226","25","28"," Canberra","Computational Biology","dfusycxdzvbstemnavhbbuccd","hiheegrho","misc29","Tracking value function dynamics to improve reinforcement learning with piecewise linear function approximation.        ","howpub29"," Kabul","1984","Jan","494-506","2","9"," Kabul","Network and Software Security","pawmqtirxpeulbhpavsyickqoidytcf","jijnfsqzzljxnfsrdhqcemjdfushtift","man29","Map building without localization by dimensionality reduction techniques.          ","CPSR - Computer Professionals for Social Responsibility ","1987","May","641-650","6","29"," Canberra","Human Computer Interaction","zyuxixwmqon","qfbyxyonmgmybdm",,,,,,,,,,,,,"art29"," Efficient Planarity Testing,","Pour la Science","1979","Oct","1145-1160","15","7"," Canberra","Numerical Analysis","xaovstxodmg","lorvhzdxidsebdzsf","tech29","Learning to rank: from pairwise approach to listwise approach.        ","Southern Arkansas University ","1992","Oct","895-914","4","27"," Canberra","Programming Languages and Methodologies","sdqmtbdlshrrbdejksupowpnesfdygsdsi","wnzefyc"
"30","TAYLOR,Olga","book30","Security technologies for the World Wide Web. ","Guilford Publications     ","1985","Sep","1013-1020","9","11"," Tirane","Computer Graphics","hbijcjlpnnuzzdhzaligggx","ulnjpfhqabjvbcykbbnxqggewtnc","inc30","Parameter learning for relational Bayesian networks.        ","Security technologies for the World Wide Web. ","1995","Aug","1357-1360","7","11"," Vienna","Numerical Analysis","dcrwwittishao","fzbvlquvn","misc30","Self taught learning: transfer learning from unlabeled data.        ","howpub30"," Tirane","1993","Nov","1205-1213","8","16"," Tirane","Programming Languages and Software Engineering","whabxl","eczvbrpadukrfmvmzunebzqg","man30","Keisuke Yamazaki, Motoaki Kawanabe, Sumio Watanabe, Masashi Sugiyama, Klaus Robert Müller: ","EATCS - European Association for Theoretical Computer Science ","1984","Jul","958-958","15","30"," Vienna","Universal Access","uvmkmsekmo","bhnpkovxcnyaxyigfrkkmejjmsihfewf",,,,,,,,,,,,,"art30"," On straight Lines Representation of Planar Graphs,","  of Research of the National Bureau of Standards","1978","Sep","385-396","26","13"," Vienna","Theoretical Computer Science","cujixlqpisczz","jsbqp","tech30","Local similarity discriminant analysis.        ","University of Arkansas System","1987","Jan","1036-1048","21","19"," Vienna","Applied and Discrete Mathematics","nlhqiiwvtmbwojqayflxmrzfgp","farggnrdofxhiowppzmybfllp"
"31","ANDERSON,Paraskeva","book31","Sams teach yourself SQL in 24 hours","Houghton Mifflin Company     ","1998","Jul","122-138","9","12"," Algiers","Database Systems","xjblmdwgjawwooqiigfz","ryvaumeotwbzuzokcdf","inc31","Bayesian compressive sensing and projection optimization.        ","Sams teach yourself SQL in 24 hours","1983","Oct","1139-1149","12","19"," Nassau","Artificial Intelligence","njpwwpfqayrrkelbncsxvyiqd","dtwtmtwfwpbgdywxiry","misc31","Online discovery of similarity mappings.        ","howpub31"," Algiers","1988","Feb","204-217","2","19"," Algiers","Programming Languages and Software Engineering","ctsvszfulrvvuyyyvgkgldf","fawyf","man31","Asymptotic Bayesian generalization error when training and test distributions are different.          ","EAPLS _ European Association for Programming Languages and Systems ","2000","Jun","1275-1287","5","25"," Nassau","Distributed Informatics","vppyzshkftetmsosdetbuz","rnapsksuc",,,,,,,,,,,,,"art31"," Convex Maps,","Annals Discrete Math.","1974","Jan","731-735","28","13"," Baku","Parallel and Distributed Computing","bntxomjbaqqkecgrdyspzvaoyodxbwp","abqoujwncpoxfhyswrwebavpugp",,,,,,,,,,,,
"32","THOMAS,Philip","book32","Security complete","Jessica Kingsley Publishers     ","1999","Aug","749-761","13","24"," Andorra la Vella","Computer Graphics","rerxkblbdamlbbmofbmahrrozzyt","wuxelzrqtcfmacqevgohvebkixzsgegu","inc32","Constructing basis functions from directed graphs for value function approximation.        ","Security complete","1999","May","1985-2004","1","14"," Manama","Computer Systems and Networks","yqbinkbjqcpewjjxna","pewrboyqxxfes","misc32","More efficiency in multiple kernel learning.        ","howpub32"," Andorra la Vella","1998","Jun","706-709","3","19"," Andorra la Vella","Numerical Analysis","rbpqmanbwlv","dmuakpqgtwilxysmveudihkggmxr","man32","Least squares linear discriminant analysis.          ","ECCAI - European Coordinating Committee for Artificial Intelligence ","1994","Aug","1487-1496","2","11"," Manama","Computational Science","yhswnhdbamhuaosfanoroswn","jrjqzjlefaytkmn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"33","JACKSON,Sophia","book33","Creating Web pages for dummies.","John Wiley & Son","1986","Oct","881-898","19","21"," Luanda","Parallel and Distributed Computing","hvxyvbjaoocngyyxutk","veytwvdvcgemzfcrkiifghyjxxldb","inc33","Most likely heteroscedastic Gaussian process regression.        ","Creating Web pages for dummies.","1995","Feb","338-339","3","5"," Dhaka","Computational Science","bdsutn","wfpwnwk","misc33","Graph clustering with network structure indices.        ","howpub33"," Luanda","1982","May","1272-1284","6","18"," Luanda","Applied and Discrete Mathematics","worzxaksdryu","unozkqobjvxiskfghwunyyhiltlexlpo","man33","Discriminant kernel and regularization parameter learning via semidefinite programming.          ","IBFI Schloß Dagstuhl ","1999","Jul","1063-1081","1","19"," Dhaka","Human Computer Interaction","iwybqxqclyeoplpwrjizclbguvn","ftsurjvewsbniameppxswtfaaxxmz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"34","WHITE,Teresia","book34","Database programming with Visual Basic .NET. ","Higher Education     ","1992","Jun","1031-1046","10","29"," Saint John's","Distributed Informatics","nwkwzufiqrrrnakhgpnja","afpmmqyrevarsval","inc34","Neighbor search with global geometry: a minimax message passing algorithm.        ","Database programming with Visual Basic .NET. ","1984","Aug","1563-1580","28","17"," Bridgetown","Database Systems","dnwol","xkzkelibfuxfwgjgsptehwztliybzcqg","misc34","Restricted Boltzmann machines for collaborative filtering.        ","howpub34"," Saint John's","1985","Nov","241-249","5","3"," Saint John's","Bioinformatics","foixsghddbhiyfgjoeuhcjjqtrhmz","fwtltlncxurvjyj","man34","Robust multi task learning with t processes.          ","IFIP - International Federation for Information Processing ","1989","Apr","1030-1035","15","17"," Bridgetown","Network and Software Security","tdqmlplzvxk","wocawpbwpjeafnjpuiedopwkgi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35","HARRIS,Victor","book35","HTML 4 for dummies.","McGraw-Hill Higher Education     ","1983","Mar","225-243","15","29"," Buenos Aires","Theory of Computation","edomxahbnwhzyczqxgscykkwf","iqqzt","inc35","A recursive method for discriminative mixture learning.        ","HTML 4 for dummies.","2001","Feb","1948-1967","6","15"," Minsk","Programming Languages and Software Engineering","ttxnaodhaidixigbyizplbadcax","pknbur","misc35","Sample compression bounds for decision trees.        ","howpub35"," Buenos Aires","1996","Jul","1178-1181","7","14"," Buenos Aires","Computer Graphics","acousdsxgm","rralerzjeuwvhcl","man35","On the value of pairwise constraints in classification and consistency.          ","ISO - International Organization for Standardization ","1996","Jun","372-376","1","21"," Minsk","Numerical Analysis","kmzar","knzrwhft",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"36","MARTIN,Vladimirus","book36","Schaum's outline of theory and problems of computer networking.","Peter Lang Publishing","2001","Mar","635-644","23","2"," Yerevan","Computer Systems and Networks","gakmeofpfemndjjsgvpmmmgykdz","tivprjgkcwfkonanbbyzvdeirergug","inc36","Infinite mixtures of trees.        ","Schaum's outline of theory and problems of computer networking.","1988","Jan","540-548","17","12"," Brussels","Theoretical Computer Science","poetydckrrp","ppzwpcdepfpfmbew","misc36","Pegasos: Primal Estimated sub GrAdient SOlver for SVM.        ","howpub36"," Yerevan","1997","Feb","1208-1218","7","10"," Yerevan","Numerical Analysis","ltcarvllr","bsypacpmbc","man36","Maximum margin clustering made practical.          ","ISOC - Internet Society ","1988","Jul","1641-1652","15","24"," Brussels","Computational Science","zanvymwjmxcrblfurmgewztxwtesznibg","csmfusjkyrlahuufpvjmlxbc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"37","THOMPSON,Xenia","book37","Schaum's outline of theory and problems of XML.","Prentice Hall","1986","Jan","1213-1230","13","28"," Canberra","Applied and Discrete Mathematics","vbkkwqoubdvwphpyiccafrldjwjphvql","iqzijiie","inc37","Local dependent components.        ","Schaum's outline of theory and problems of XML.","1989","Feb","169-179","28","14"," Belmopan","Numerical Analysis","czjeyejminkvrcfclghmockhyvujufmy","fquyovnf","misc37","A dependence maximization view of clustering.        ","howpub37"," Canberra","1999","Nov","1092-1106","8","16"," Canberra","Universal Access","clyenkjhtdspncpkmimpvolcjzja","wiqnzdoqw","man37","Nonlinear independent component analysis with minimal nonlinear distortion.          ","KR - Principles of Knowledge Representation and Reasoning, Inc. ","1995","Nov","864-869","6","7"," Belmopan","Parallel and Distributed Computing","khzxikbmskunfzsi","yiqzkipmbtnregotkwvqzrfobbzmidsov",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"38","GARCIA,Thomas",,,,,,,,,,,,,"inc38","Statistical predicate invention.        ","Granular computing : an introduction. ","1991","Oct","745-745","3","11"," Porto","Software Engineering","irxavpltbqjgcxonlm","riramcdfzbsnjqzfann","misc38","Supervised feature selection via dependence estimation.        ","howpub38"," Andorra la Vella","1995","May","1017-1025","3","2"," Andorra la Vella","Theory of Computation","dqqwkqzlgvmpasb","voqgrlndvrgrtihdyvpsd","man38","Wei Zhang, Xiangyang Xue, Zichen Sun, Yue Fei Guo, Hong Lu: ","Russian Academy of Sciences ","1990","Sep","1649-1655","9","27"," Porto","Numerical Analysis","dmydqhxqkggzosnnjeaiagck","kdsacjlacuqepx",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"39","MARTINEZ,Pantaleon",,,,,,,,,,,,,"inc39","Kernelizing PLS, degrees of freedom, and efficient model selection.        ","The five-minute interview : a job hunter's guide to a successful interview. ","1989","Feb","1592-1598","1","26"," Buenos Aires","Human Computer Interaction","jgyijaeyzuinwgezbpdnbrx","livqd","misc39","Sparse eigen methods by D.C. programming.        ","howpub39"," Luanda","1990","Mar","1166-1183","3","28"," Luanda","Computer Systems and Networks","bfatlhuqrlru","eqzltihvsxeshersxc","man39","Optimal dimensionality of metric space for classification.          ","USENIX ","1993","Aug","339-339","5","9"," Buenos Aires","Human Computer Interaction","xoicw","rtqsdcniecbpjhkwafxz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"40","ROBINSON,Adam",,,,,,,,,,,,,"inc40","Nonmyopic active learning of Gaussian processes: an exploration exploitation approach.        ","Schaum's outline of UML. ","1994","Jan","695-698","11","21"," Yerevan","Human Computer Interaction","vlutphtoosersyanxfqmtbxwlvt","lhgiplwxsbacpcsbgzbon","misc40","Learning to solve game trees.        ","howpub40"," Saint John's","1999","Jan","1355-1360","6","8"," Saint John's","Bioinformatics","ceenvrwrnr","gclntzrwpzorrq","man40","Conditional random fields for multi agent reinforcement learning.          ","W3C - The World Wide Web Consortium ","1990","Feb","1821-1826","2","29"," Yerevan","Network and Software Security","vpsoojzlptybyni","igdodakomsrqlxvjb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41","SMITH,Blasius",,,,,,,,,,,,,"inc41","On one method of non diagonal regularization in sparse Bayesian learning.        ","Microsoft Windows XP inside out.  ","1997","Aug","1353-1359","16","1"," Canberra","Database Systems","vxnwaiyylveisbusxlnmrclensnszte","pvwiyvrrqqknbdkjacstdnyssqpm",,,,,,,,,,,,,,"man41","Spectral feature selection for supervised and unsupervised learning.          ","WEB Society ","2001","Jan","1046-1063","4","10"," Canberra","Parallel and Distributed Computing","oefrymlhbcmifgjhkifvfrbrxaqlyoif","ianvnojbetadxxrzdvsyirgufug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"42","JOHNSON,Carolus",,,,,,,,,,,,,"inc42","Online kernel PCA with entropic matrix updates.        ","Computer systems : a programmer's perspective. ","1989","Mar","701-720","29","11"," Vienna","Parallel and Distributed Computing","pfhkxycdhexexwzsidglwohgidd","kjaqstmcynquynrjyowpuqhkpuemq",,,,,,,,,,,,,,"man42","Spectral clustering and transductive learning with multiple views.          ","WARIA - Workflow And Reengineering International Association ","1983","Jun","1482-1501","13","18"," Vienna","Theory of Computation","eyzxekhgztuabqefkvkuml","poffxpebc",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"43","WILLIAMS,Demetrius",,,,,,,,,,,,,"inc43","An empirical evaluation of deep architectures on problems with many factors of variation.        ","Schaum's outline of computer architecture.","1985","Jul","1243-1254","27","22"," Nassau","Parallel and Distributed Computing","dnwfqzebcwfgksuwtvvcbupxlfm","hjhly",,,,,,,,,,,,,,"man43","On the relation between multi instance learning and semi supervised learning.          ","SCCC - The Chilean Computer Society ","1992","Jan","782-784","9","7"," Nassau","Artificial Intelligence","rgoeuczyfdjefmagicsknsv","qqaoduwhyazwggkpyxdxjkxdpw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44","JONES,Franciscus",,,,,,,,,,,,,"inc44","Hierarchical Gaussian process latent variable models.        ","Creating your own great DVDs & CDs : the official hp guide.   ","2000","Jul","34-39","21","8"," Manama","Programming Languages and Software Engineering","gxjejjffrgf","hhycqodqchuruoskhqte",,,,,,,,,,,,,,"man44","Jun Zhu, Zaiqing Nie, Bo Zhang, Ji Rong Wen: ","IACR - International Association for Cryptologic Research ","1999","Dec","276-286","10","18"," Manama","Bioinformatics","uudztodnzdtzleugcqltwpdg","rabmot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"45","BROWN,Josepha",,,,,,,,,,,,,"inc45","Su In Lee, Vassil Chatalbashev, David Vickrey, Daphne Koller: ","Cellular neural networks and visual computing : foundation and applications.   ","1998","Jul","1292-1303","5","6"," Dhaka","Bioinformatics","aoihlivxiizcfxcwknn","zxemftvhxiadbmwwf",,,,,,,,,,,,,,"man45","Dynamic hierarchical Markov random fields and their application to web data extraction.          ","ASIS - American Society for Information Science ","1995","Nov","1884-1887","5","9"," Dhaka","Theoretical Computer Science","oyizgomsgwvryurtmhildse","suxhvsggnxxow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"46","DAVIS,Leo",,,,,,,,,,,,,"inc46","Learning a meta level prior for feature relevance from multiple related tasks.        ","Automated theory formation in pure mathematics.   ","1993","Sep","1226-1226","13","12"," Bridgetown","Applied and Discrete Mathematics","nfukwkmvzftvh","vrfyjzsppyjadovuhi",,,,,,,,,,,,,,"man46","Transductive support vector machines for structured variables.          ","EFF - The Electronic Frontier Foundation ","1988","Sep","501-516","15","22"," Bridgetown","Parallel and Distributed Computing","lmozyqsweoayzxfumatd","iwkpdufjlrywjknnhphj",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"47","MILLER,Lucas",,,,,,,,,,,,,"inc47","Scalable modeling of real graphs using Kronecker multiplication.        ","Distributed systems : concepts and design.   ","1987","Sep","1011-1014","23","21"," Minsk","Database Systems","obstmnluitvpjabbsux","pseceywujyrdhcxj",,,,,,,,,,,,,,"man47","Multiclass multiple kernel learning.          ","Fakulätentag Informatik - Adressen ","1985","Jun","478-479","13","5"," Minsk","Database Systems","oixngwcayujkrkhiceeitcjkneptvfo","kvbqsofknzdgumjrcgdthdgcqqvhm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"48","WILSON,Maximus",,,,,,,,,,,,,"inc48","Support cluster machine.        ","Simply Visual Basic .NET. ","2000","Sep","1654-1656","22","11"," Brussels","Computational Biology","lfniqsskrjrzkzzpqofelwqocxenfmpfqn","ufravce",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"49","MOORE,Olga",,,,,,,,,,,,,"inc49","A transductive framework of distance metric learning by spectral dimensionality reduction.        ","JavaScript : pocket reference. ","1994","Sep","468-480","16","4"," Belmopan","Database Systems","ltznmhkvtlcdgdszlpnknhqxpeggrfdczk","unghzhghoenixjijwdxozogzdaxpwer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"50","TAYLOR,Paraskeva",,,,,,,,,,,,,"inc50","Adaptive dimension reduction using discriminant analysis and K means clustering. ","Flash MX : creative web animation and interactivity.","1999","Feb","1939-1945","10","14"," Porto","Human Computer Interaction","kkzmqlzj","olhcdrnpqdfeus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
